user_id,total_points_earned,total_points_spent,current_balance,first_activity,last_activity
100463,0,0,0,,
100503,83355,900,82455,2026-04-29 19:34:36.000 -0400,2026-05-08 20:17:13.000 -0400
100473,0,0,0,,
100168,50040,2000,48040,2026-02-19 01:15:45.000 -0500,2026-02-19 01:45:34.000 -0500
100051,53750,3380,50370,2025-12-05 22:08:16.000 -0500,2026-05-04 18:55:26.000 -0400
100173,0,0,0,,
100509,86100,500,85600,2026-05-04 14:28:28.000 -0400,2026-05-08 02:52:36.000 -0400
100279,0,0,0,,
100115,0,0,0,,
100026,0,0,0,,
100469,0,0,0,,
100250,52845,2750,50095,2026-02-02 17:27:34.000 -0500,2026-03-27 10:46:27.000 -0400
100059,0,0,0,,
100287,0,0,0,,
100012,10025,250,9775,2025-11-19 14:56:21.000 -0500,2026-01-19 15:40:40.000 -0500
100085,0,0,0,,
100427,0,0,0,,
100502,0,0,0,,
100292,0,0,0,,
100078,0,0,0,,
100524,0,0,0,,
100437,0,0,0,,
100387,0,0,0,,
100393,0,0,0,,
100323,2000,0,2000,2026-02-26 13:54:20.000 -0500,2026-02-26 13:54:20.000 -0500
100307,79480,900,78580,2026-02-11 09:43:43.000 -0500,2026-05-11 21:56:30.000 -0400
100377,38000,2000,36000,2026-03-26 14:02:17.000 -0400,2026-03-26 14:10:51.000 -0400
100029,0,0,0,,
